"Query","Match"
"a-ketoglutarate","2-ketoglutaric acid"
"atrolactic acid","2-Hydroxy-2-phenylpropanoic acid"
"sn-glycerol-3-phosphate","D-Glycerol 1-phosphate"
"homocysteic acid", "L-Homocysteic acid"
"dump-nega","DUMP"
"dump","DUMP"
"dtmp-nega","DTMP"
"dtmp","DTMP"
"dcdp-nega","AC1L1H4K"
"dcdp","AC1L1H4K"
"dtdp-nega","deoxy-TDP"
"dtdp","deoxy-TDP"
"cdp-nega","Citicoline"
"cdp","Citicoline"
"S-adenosyl-L-homocysteine-nega","S-adenosyl-L-homocysteine"
"S-adenosyl-L-homocysteine","S-adenosyl-L-homocysteine"
